Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:7rU6Iebxzlvqy5t857bKFq,75aaeba84d0d4a42b07bae957a99f791,2025-03-18T13:25:08Z,2,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:1m3BAsNsQAaSNMD2M6vlKY,005c1f592f01474a868c991fd8294593,2025-03-18T18:06:37Z,3,Imagine yourself driving through softly falling snow to this respectfully slutty jam. You should’ve been there.,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:2dP10iCryhpnpsMiGW2LLT,005c1f592f01474a868c991fd8294593,2025-03-18T18:06:37Z,-1,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:35U4PXL3W3XIkAjEUdhr36,005c1f592f01474a868c991fd8294593,2025-03-18T18:06:37Z,2,+2 for Neil Young.,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:3qJImzh896FdKl5mJfpFaC,005c1f592f01474a868c991fd8294593,2025-03-18T18:06:37Z,0,"For the uninitiated, FAK is worth a listen.",dc20c1c43f464a1cad6e035baf81f90d
spotify:track:3QKJELWORZZ7rUZDWeMWSA,005c1f592f01474a868c991fd8294593,2025-03-18T18:06:37Z,4,"In my minds eye, I listen to this while my wife and I cruise along the Cote d’ Azur in a top-down Peugeot cabriolet and the vibes are immaculate.

In practice, I’m rippin’ farts in a Chevy Malibu with Steve and Cooper in Wyoming and the vibes are immaculate.",dc20c1c43f464a1cad6e035baf81f90d
spotify:track:5AZGbqiIK5t1jrWSPT7k8X,005c1f592f01474a868c991fd8294593,2025-03-18T18:06:37Z,-1,Not feelin’ chill or smooth here. At all.,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:64EfSAF5nxhIfUw1GbPPCC,005c1f592f01474a868c991fd8294593,2025-03-18T18:06:37Z,1,,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:1m3BAsNsQAaSNMD2M6vlKY,2cb5e7dcadc846b4bb172ff2181acaea,2025-03-18T21:53:11Z,2,molto liscio,dc20c1c43f464a1cad6e035baf81f90d
spotify:track:35U4PXL3W3XIkAjEUdhr36,2cb5e7dcadc846b4bb172ff2181acaea,2025-03-18T21:53:11Z,3,,dc20c1c43f464a1cad6e035baf81f90d
